idx,question,context_len,answer_len,refs,issues,is_duplicate
0,How are breast cancers commonly treated?,2410,279,breast_blocks.txt,,False
1,What does the document say about breast cancer screening?,290,179,2022-2024-breast-cancer-fact-figures-acs.txt,,False
2,Does finding breast cancer earlier change survival?,306,275,s41572-019-0111-2.txt;2022-2024-breast-cancer-fact-figures-acs.txt,,False
3,How are breast cancers commonly treated?,666,238,breast_enhanced.txt,,False
4,How are breast cancers commonly treated?,327,93,9789240065987-eng.txt,,False
5,What does the document say about risk factors for breast cancer?,180,94,8577.00.txt,,False
6,What does the document say about risk factors for breast cancer?,412,138,8577.00.txt,,False
7,What are the signs of breast cancer I should watch for?,556,250,2022-2024-breast-cancer-fact-figures-acs.txt,,False
8,How are breast cancers commonly treated?,614,232,breast_enhanced.txt,,False
9,What does the document say about breast cancer screening?,477,373,2022-2024-breast-cancer-fact-figures-acs.txt,,False
10,What does the document say about risk factors for breast cancer?,625,143,breast_blocks.txt,,False
11,What does the document say about breast cancer screening?,3042,157,s41572-019-0111-2.txt,,False
12,Does ethnicity affect breast cancer detection or outcomes?,644,373,s41572-019-0111-2.txt,,False
13,What are the signs of breast cancer I should watch for?,568,313,breast.txt;10 mg every other day since 5-mg dose is not available in the United States,missing_files:10 mg every other day since 5-mg dose is not available in the United States,False
14,What are the signs of breast cancer I should watch for?,573,425,2022-2024-breast-cancer-fact-figures-acs.txt,,False
15,What are the signs of breast cancer I should watch for?,541,61,breast.txt,,False
16,How are breast cancers commonly treated?,290,194,breast-invasive-patient.txt,,False
17,What does the document say about breast cancer screening?,364,292,2022-2024-breast-cancer-fact-figures-acs.txt;2022-2024-breast-cancer-fact-figures-acs.pdf Extracted: 2025-08-11T13:06:36.077817Z ---  Breast Cancer Facts & Figures 2022-2024 Contents Breast Cancer Basic Facts 1 Breast Cancer Screening 21 What is breast cancer? Sources:;uploads;docs,"missing_files:2022-2024-breast-cancer-fact-figures-acs.pdf Extracted: 2025-08-11T13:06:36.077817Z ---  Breast Cancer Facts & Figures 2022-2024 Contents Breast Cancer Basic Facts 1 Breast Cancer Screening 21 What is breast cancer? Sources:,docs",False
18,I missed my mammogram appointment. What should I do?,233,202,8577.00.txt,,False
19,Does finding breast cancer earlier change survival?,724,247,2022-2024-breast-cancer-fact-figures-acs.txt,,False
20,What does the document say about risk factors for breast cancer?,456,145,8577.00.txt,,False
21,What does the document say about risk factors for breast cancer?,299,109,8577.00.txt,,False
22,What does the document say about breast cancer screening?,749,504,breast.txt,,False
23,What are the signs of breast cancer I should watch for?,498,184,breast.txt,,False
24,What does the document say about risk factors for breast cancer?,2680,2530,s41572-019-0111-2.txt,,False
25,What does the document say about risk factors for breast cancer?,878,301,breast.txt,,False
26,What does the document say about risk factors for breast cancer?,811,123,8577.00.txt,,False
